originalorder	field	description	k	r	sd	documentnumber	reference	year
24	Aggression	Males' aggressiveness is stable over time	24	0.55	0.36	214	Olweus, D. (1979). Stability of aggressive reaction patterns in males: A review. Psychological Bulletin, 86, 852–875. 	1979
25	Aggression	Females' aggressiveness is stable over time	21	0.44	0.33	215	Olweus, D. (1984). Stability in aggressive and withdrawn, inhibited behavior patterns. In R. M. Kaplan, V. J. Konecni, & R. W. Novaco (Eds.), Aggression in children and youth (pp. 104–137). The Hague: Martinus Nijhoff.	1984
26	Aggression	There are sex differences: Men are more aggressive than women	110	0.31	0.23	158	Knight, G. P., Fabes, R. A., & Higgins, D. A. (1996). Concerns about drawing causal inferences from meta-analyses: An example in the study of gender differences in aggression. Psychological Bulletin, 119, 410–421.	1996
27	Aggression	There are sex differences: Men are more aggressive than women	107	0.12	0.14	28	Bettencourt, B. A., & Miller, N. (1996). Gender differences in aggression as a function of provocation: A meta-analysis. Psychological Bulletin, 119, 422–447.	1996
28	Aggression	There are sex differences: Men are more aggressive than women	83	0.23	0.1	141	Hyde, J. S. (1984). How large are gender differences in aggression? A developmental metaanalysis. Developmental Psychology, 20, 722–736.	1984
29	Aggression	There are sex differences: Men are more aggressive than women	50	0.2	0.35	85	Eagly, A. H., & Steffen, V. J. (1986). Gender and aggressive behavior: A meta-analytic review of the social psychological literature. Psychological Bulletin, 100, 309–330.	1986
30	Aggression	After exposure to violence, men are more aggressive than women	20	0.11	0.16	27	Bettencourt, B. A., & Kernahan, C. (1997). A meta-analysis of aggression in the presence of violent cues: Effects of gender differences and aversive provocation. Aggressive Behavior, 23, 447–456.	1997
31	Aggression	People are more aggressive toward men than women	20	0.06	0.26	85	Eagly, A. H., & Steffen, V. J. (1986). Gender and aggressive behavior: A meta-analytic review of the social psychological literature. Psychological Bulletin, 100, 309–330.	1986
32	Attitudes	Persuasive fear appeals induce attitude change	40	0.11	0.06	279	Sutton, S. R. (1982). Fear-arousing communications: A critical examination of theory and research. In J. R. Eiser (Ed.), Social psychology and behavioral medicine (pp. 303–337). New York: Wiley. 	1982
33	Attitudes	Persuasive fear appeals induce attitude change	25	0.21	0.14	34	Boster, F. J., & Mongeau, P. (1984). Fear-arousing persuasive messages. Communication Yearbook, 8, 330–375.	1984
34	Attitudes	Persuasive fear appeals induce behavior change	15	0.1	0.19	34	Boster, F. J., & Mongeau, P. (1984). Fear-arousing persuasive messages. Communication Yearbook, 8, 330–375.	1984
35	Attitudes	Persuasive fear appeals induce behavior change	16	0.13	0.12	279	Sutton, S. R. (1982). Fear-arousing communications: A critical examination of theory and research. In J. R. Eiser (Ed.), Social psychology and behavioral medicine (pp. 303–337). New York: Wiley. 	1982
36	Attitudes	Cumulative exposure to mass media influences viewers' attitudes	52	0.09	0.04	179	Morgan, M., & Shanahan, J. (1997). Two decades of cultivation research: An appraisal and meta-analysis. Communication Yearbook, 20, 1–45.	1997
37	Attitudes	Mere exposure to a stimulus increases liking for that stimulus	208	0.26	0.52	32	Bornstein, R. F. (1989). Exposure and affect: Overview and meta-analysis of research, 1968– 1987. Psychological Bulletin, 106, 265–289.	1989
38	Attitudes	Some people are more persuasive than others	745	0.21	NA	312	Wilson, E. J., & Sherrell, D. L. (1993). Source effects in communication and persuasion research: A meta-analysis of effect size. Journal of the Academy of Marketing Science, 21, 101–112. 	1993
39	Attitudes	People who are involved in a message are unlikely to be persuaded by it	40	0.1	0.17	145	Johnson, B. T., & Eagly, A. H. (1989). Effects of involvement on persuasion: A meta-analysis. Psychological Bulletin, 106, 290–314.	1989
40	Attitudes	A message is most persuasive if it presents a lot of information	31	0.2	0.07	271	Stiff, J. B. (1986). Cognitive processing of persuasive message cues: A meta-analytic review of the effects of supporting information on attitudes. Communication Monographs, 53, 75–89. 	1986
41	Attitudes	The higher a person's credibility, the more persuasive that person will be	10	0.1	0.04	271	Stiff, J. B. (1986). Cognitive processing of persuasive message cues: A meta-analytic review of the effects of supporting information on attitudes. Communication Monographs, 53, 75–89. 	1986
42	Attitudes	Good arguments are persuasive to people who have a high need to think	11	0.15	0.07	41	Cacioppo, J. T., Petty, R. E., Feinstein, J. A., & Jarvis, W. B. G. (1996). Dispositional differences in cognitive motivation: The life and times of individuals varying in need for cognition. Psychological Bulletin, 119, 197–253.	1996
43	Attitudes	Sometimes a message has more persuasive impact after a delay	20	0	0.43	11	Allen, M., & Stiff, J. B. (1989). Testing three models for the sleeper effect. Western Journal of Speech Communication, 53, 411–426.	1989
44	Attitudes	Information about a speaker's credibility has less impact if it is delayed	10	0.13	0.25	207	O'Keefe, D. J. (1987). The persuasive effects of delaying identification of high- and low-credibility communicators: A meta-analytic review. Central States Speech Journal, 38, 63–72. 	1987
45	Attitudes	Distraction increases the persuasive impact of a message	104	0.03	0.17	37	Buller, D. B. (1986). Distraction during persuasive communication: A meta-analytic review. Communication Monographs, 53, 91–114.	1986
46	Attitudes	Two-sided messages are more persuasive than one-sided messages	26	0.04	0.06	6	Allen, M. (1991). Meta-analysis comparing the persuasiveness of one-sided and two-sided messages. Western Journal of Speech Communication, 55, 390–404.	1991
47	Attitudes	People are more persuaded by comparative than non-comparative ads	95	0.11	0.21	117	Grewal, D., Kavanoor, S., Fern, E. F., Costley, C., & Barnes, J. (1997). Comparative versus noncomparative advertising: A meta-analysis. Journal of Marketing, 61, 1–15.	1997
48	Attitudes	Subliminal advertising increases sales	23	0	0.11	291	Trappey, C. (1996). A meta-analysis of consumer choice and subliminal advertising. Psychology & Marketing, 13, 517–530. 	1996
49	Attitudes	Scarcity increases the value of a commodity	49	0.12	0.16	168	Lynn, M. (1991). Scarcity effects on value: A quantitative review of the commodity theory literature. Psychology & Marketing, 8, 43–57.	1991
50	Attitudes	There is consistency between people's attitudes and behavior	138	0.47	0.14	153	Kim, M., & Hunter, J. E. (1993). Attitudebehavior relations: A meta-analysis of attitudinal relevance and topic. Journal of Communication, 43, 101–142.	1993
51	Attitudes	There is consistency between people's attitudes and behavior	92	0.65	0.14	154	Kim, M., & Hunter, J. E. (1993). Relationships among attitudes, behavioral intentions, and behavior: A meta-analysis of past research, part 2. Communication Research, 20, 331–364.	1993
52	Attitudes	There is consistency between people's attitudes and behavior	88	0.38	0.18	162	Kraus, S. J. (1995). Attitudes and the prediction of behavior: A meta-analysis of the empirical literature. Personality and Social Psychology Bulletin, 21, 58–75.	1995
53	Attitudes	There is consistency between people's attitudes and behavior	37	0.45	0.46	91	Farley, J. U., Lehmann, D. R., & Ryan, M. J. (1981). Generalizing from “imperfect” replication. Journal of Business, 54, 597–610.	1981
54	Attitudes	There is consistency between people's attitudes and behavior	15	0.43	NA	320	Zimmerman, R. S., & Vernberg, D. (1994). Models of preventive health behavior: Comparison, critique, and meta-analysis. Advances in Medical Sociology, 4, 45–67. 	1994
55	Attitudes	People do what they intend to do	98	0.45	0.19	225	Randall, D. M., & Wolff, J. A. (1994). The time interval in the intention-behavior relationship: Meta-analysis. British Journal of Social Psychology, 33, 405–418. 	1994
56	Attitudes	People do what they intend to do	87	0.53	0.2	255	Sheppard, B. H., Hartwick, J., & Warshaw, P. R. (1988). The theory of reasoned action: A metaanalysis of past research with recommendations for modifications and future research. Journal of Consumer Research, 15, 325–343. 	1988
57	Attitudes	People do what they intend to do	47	0.46	0.21	154	Kim, M., & Hunter, J. E. (1993). Relationships among attitudes, behavioral intentions, and behavior: A meta-analysis of past research, part 2. Communication Research, 20, 331–364.	1993
58	Attitudes	People do what they intend to do	13	0.56	NA	320	Zimmerman, R. S., & Vernberg, D. (1994). Models of preventive health behavior: Comparison, critique, and meta-analysis. Advances in Medical Sociology, 4, 45–67. 	1994
59	Attitudes	People are likely to perform an action if they: intend to perform the action and believe they can control it	17	0.51	NA	5	Ajzen, I. (1991). The theory of planned behavior. Organizational Behavior and Human Decision Processes, 50, 179–211.	1991
60	Attitudes	People are likely to perform an action if they: feel positively about the action and believe it is common	87	0.66	0.13	255	Sheppard, B. H., Hartwick, J., & Warshaw, P. R. (1988). The theory of reasoned action: A metaanalysis of past research with recommendations for modifications and future research. Journal of Consumer Research, 15, 325–343. 	1988
61	Attitudes	People are likely to recycle if they: know about recycling	115	0.4	0.26	138	Hornik, J., Cherian, J., Madansky, M., & Narayana, C. (1995). Determinants of recycling behavior: A synthesis of research results. Journal of Socio-Economics, 24, 105–127.	1995
62	Attitudes	People are likely to recycle if they: know about recycling, like it, and have an incentive to recycle	115	0.48	0.23	136	Hines, J. M., Hungerford, H. R., & Tomera, A. N. (1987). Analysis and synthesis of research on responsible environmental behavior: A meta-analysis. Journal of Environmental Education, 18, 1–8.	1987
63	Attitudes	People are likely to recycle if they: have concern for the environment	7	0.11	0.12	247	Schultz, P. W., & Oskamp, S. (1996). Effort as a moderator of the attitude-behavior relationship: General environmental concern and recycling. Social Psychology Quarterly, 59, 375–383. 	1996
64	Attribution	People attribute their successes to ability	69	0.29	0.35	306	Whitley, B. E., Jr., & Frieze, I. H. (1986). Measuring causal attributions for success and failure: A meta-analysis of the effects of questionwording style. Basic and Applied Social Psychology, 7, 35–51. 	1986
65	Attribution	People attribute their successes to ability	25	0.27	NA	305	Whitley, B. E., Jr., & Frieze, I. H. (1985). Children's causal attributions for success and failure in achievement settings: A meta-analysis. Journal of Educational Psychology, 77, 608–616. 	1985
66	Attribution	People attribute their successes to effort	69	0.18	0.27	306	Whitley, B. E., Jr., & Frieze, I. H. (1986). Measuring causal attributions for success and failure: A meta-analysis of the effects of questionwording style. Basic and Applied Social Psychology, 7, 35–51. 	1986
67	Attribution	People attribute their successes to effort	25	0.14	NA	305	Whitley, B. E., Jr., & Frieze, I. H. (1985). Children's causal attributions for success and failure in achievement settings: A meta-analysis. Journal of Educational Psychology, 77, 608–616. 	1985
68	Attribution	People attribute their successes to internal factors	49	0.26	0.17	197	Mullen, B., & Riordan, C. A. (1988). Selfserving attributions for performance in naturalistic settings: A meta-analytic review. Journal of Applied Social Psychology, 18, 3–22.	1988
69	Attribution	Students attribute their academic successes to luck	25	0.01	NA	305	Whitley, B. E., Jr., & Frieze, I. H. (1985). Children's causal attributions for success and failure in achievement settings: A meta-analysis. Journal of Educational Psychology, 77, 608–616. 	1985
70	Attribution	People attribute their failures to bad luck	69	0.1	0.43	306	Whitley, B. E., Jr., & Frieze, I. H. (1986). Measuring causal attributions for success and failure: A meta-analysis of the effects of questionwording style. Basic and Applied Social Psychology, 7, 35–51. 	1986
71	Attribution	People attribute their failures to the difficulty of their task	69	0.05	0.42	306	Whitley, B. E., Jr., & Frieze, I. H. (1986). Measuring causal attributions for success and failure: A meta-analysis of the effects of questionwording style. Basic and Applied Social Psychology, 7, 35–51. 	1986
72	Attribution	People attribute their failures to the difficulty of their task	25	0.22	NA	305	Whitley, B. E., Jr., & Frieze, I. H. (1985). Children's causal attributions for success and failure in achievement settings: A meta-analysis. Journal of Educational Psychology, 77, 608–616. 	1985
73	Attribution	People attribute their failures to external factors	42	0.09	0.17	197	Mullen, B., & Riordan, C. A. (1988). Selfserving attributions for performance in naturalistic settings: A meta-analytic review. Journal of Applied Social Psychology, 18, 3–22.	1988
74	Attribution	People take more responsibility for success than failure	23	0.19	0.33	21	Arkin, R. M., Cooper, H. M., & Kolditz, T. A. (1980). A statistical review of the literature concerning the self-serving attribution bias in interpersonal influence situations. Journal of Personality, 48, 435–448.	1980
75	Attribution	People are held more responsible for a severe than a minor accident	22	0.13	0.38	38	Burger, J. M. (1981). Motivational biases in the attribution of responsibility for an accident: A meta-analysis of the defensive-attribution hypothesis. Psychological Bulletin, 90, 496–512.	1981
76	Attribution	There are actor–observer differences in work performance attributions	11	0.41	0	68	DeVader, C. L., Bateson, A. G., & Lord, R. G. (1986). Attribution theory: A meta-analysis of attributional hypotheses. In E. A. Locke (Ed.), Generalizing from laboratory to field settings (pp. 63–79). Lexington, MA: D. C. Heath.	1986
77	Attribution	Successful, expected work performances are attributed to ability	20	0.35	0.17	68	DeVader, C. L., Bateson, A. G., & Lord, R. G. (1986). Attribution theory: A meta-analysis of attributional hypotheses. In E. A. Locke (Ed.), Generalizing from laboratory to field settings (pp. 63–79). Lexington, MA: D. C. Heath.	1986
78	Attribution	Adults who suffer depression attribute: negative outcomes to internal, global, stable factors	268	0.22	0.15	281	Sweeney, P. D., Anderson, K., & Bailey, S. (1986). Attributional style in depression: A metaanalytic review. Journal of Personality and Social Psychology, 50, 974–991. 	1986
79	Attribution	Adults who suffer depression attribute: positive outcomes to external, specific, unstable factors	160	0.14	0.14	281	Sweeney, P. D., Anderson, K., & Bailey, S. (1986). Attributional style in depression: A metaanalytic review. Journal of Personality and Social Psychology, 50, 974–991. 	1986
80	Attribution	Children who suffer depression attribute: negative outcomes to internal, global, stable factors	19	0.39	NA	112	Gladstone, T. R. G., & Kaslow, N. J. (1995). Depression and attributions in children and adolescents: A meta-analytic review. Journal of Abnormal Child Psychology, 23, 597–606.	1995
81	Attribution	Children who suffer depression attribute: negative outcomes to internal, global, stable factors	17	0.38	0.03	147	Joiner, T. E., Jr., & Wagner, K. D. (1995). Attributional style and depression in children and adolescents: A meta-analytic review. Clinical Psychology Review, 15, 777–798.	1995
82	Attribution	Children who suffer depression attribute: positive outcomes to external, specific, unstable factors	18	0.32	NA	112	Gladstone, T. R. G., & Kaslow, N. J. (1995). Depression and attributions in children and adolescents: A meta-analytic review. Journal of Abnormal Child Psychology, 23, 597–606.	1995
83	Attribution	Children who suffer depression attribute: positive outcomes to external, specific, unstable factors	15	0.32	0.06	147	Joiner, T. E., Jr., & Wagner, K. D. (1995). Attributional style and depression in children and adolescents: A meta-analytic review. Clinical Psychology Review, 15, 777–798.	1995
84	Attribution	There are sex differences: Men attribute their performance to ability	58	0.07	0.07	308	Whitley, B. E., Jr., McHugh, M. C., & Frieze, I. H. (1986). Assessing the theoretical models for sex differences in causal attributions of success and failure. In J. S. Hyde & M. C. Linn (Eds.), The psychology of gender (pp. 102–135). Baltimore: Johns Hopkins University Press. 	1986
85	Attribution	There are sex differences: Men attribute their performance to ability	28	0.06	0	260	Sohn, D. (1982). Sex differences in achievement self-attributions: An effect-size analysis. Sex Roles, 8, 345–357. 	1982
86	Attribution	There are sex differences: Men attribute their performance to ability	22	0.06	0.02	105	Frieze, I. H., Whitley, B. E., Jr., Hanusa, B. H., & McHugh, M. C. (1982). Assessing the theoretical models for sex differences in causal attributions for success and failure. Sex Roles, 8, 333–343.	1982
87	Attribution	There are sex differences: Men attribute their performance to effort	58	0.03	0.11	308	Whitley, B. E., Jr., McHugh, M. C., & Frieze, I. H. (1986). Assessing the theoretical models for sex differences in causal attributions of success and failure. In J. S. Hyde & M. C. Linn (Eds.), The psychology of gender (pp. 102–135). Baltimore: Johns Hopkins University Press. 	1986
88	Attribution	There are sex differences: Men attribute their performance to effort	22	0	0	105	Frieze, I. H., Whitley, B. E., Jr., Hanusa, B. H., & McHugh, M. C. (1982). Assessing the theoretical models for sex differences in causal attributions for success and failure. Sex Roles, 8, 333–343.	1982
89	Attribution	Women attribute their performance to luck	58	0.05	0.21	308	Whitley, B. E., Jr., McHugh, M. C., & Frieze, I. H. (1986). Assessing the theoretical models for sex differences in causal attributions of success and failure. In J. S. Hyde & M. C. Linn (Eds.), The psychology of gender (pp. 102–135). Baltimore: Johns Hopkins University Press. 	1986
90	Attribution	Women attribute their performance to luck	26	0.08	0	260	Sohn, D. (1982). Sex differences in achievement self-attributions: An effect-size analysis. Sex Roles, 8, 345–357. 	1982
91	Attribution	Women attribute their performance to luck	22	0.08	0.05	105	Frieze, I. H., Whitley, B. E., Jr., Hanusa, B. H., & McHugh, M. C. (1982). Assessing the theoretical models for sex differences in causal attributions for success and failure. Sex Roles, 8, 333–343.	1982
92	Attribution	Women attribute their performance to the difficulty of their task	58	0.02	0.21	308	Whitley, B. E., Jr., McHugh, M. C., & Frieze, I. H. (1986). Assessing the theoretical models for sex differences in causal attributions of success and failure. In J. S. Hyde & M. C. Linn (Eds.), The psychology of gender (pp. 102–135). Baltimore: Johns Hopkins University Press. 	1986
93	Attribution	Women attribute their performance to the difficulty of their task	21	0	0	105	Frieze, I. H., Whitley, B. E., Jr., Hanusa, B. H., & McHugh, M. C. (1982). Assessing the theoretical models for sex differences in causal attributions for success and failure. Sex Roles, 8, 333–343.	1982
94	Attribution	Women attribute their performance to the difficulty of their task	20	0	0	260	Sohn, D. (1982). Sex differences in achievement self-attributions: An effect-size analysis. Sex Roles, 8, 345–357. 	1982
95	Attribution	Women take more responsibility than men for academic performance	12	0.04	0.19	57	Cooper, H. M., Burger, J. M., & Good, T. L. (1981). Gender differences in the academic locus of control beliefs of young children. Journal of Personality and Social Psychology, 40, 562–572.	1981
96	Attribution	Women's successes are attributed to effort	84	0.04	NA	283	Swim, J. K., & Sanna, L. J. (1996). He's skilled, she's lucky: A meta-analysis of observers' attributions for women's and men's successes and failures. Personality and Social Psychology Bulletin, 22, 507–519. 	1996
97	Attribution	Men's successes are attributed to ability, luck, and the ease of the task	230	0.01	NA	283	Swim, J. K., & Sanna, L. J. (1996). He's skilled, she's lucky: A meta-analysis of observers' attributions for women's and men's successes and failures. Personality and Social Psychology Bulletin, 22, 507–519. 	1996
98	Attribution	Women's failures are attributed to task difficulty	36	0.07	NA	283	Swim, J. K., & Sanna, L. J. (1996). He's skilled, she's lucky: A meta-analysis of observers' attributions for women's and men's successes and failures. Personality and Social Psychology Bulletin, 22, 507–519. 	1996
99	Attribution	Men's failures are attributed to lack of ability, lack of effort, and bad luck	134	0.02	NA	283	Swim, J. K., & Sanna, L. J. (1996). He's skilled, she's lucky: A meta-analysis of observers' attributions for women's and men's successes and failures. Personality and Social Psychology Bulletin, 22, 507–519. 	1996
100	Expectancy effects	People behave as others expect them to behave	114	0.16	NA	233	Rosenthal, R. (1969). Interpersonal expectations: Effects of the experimenter's hypothesis. In R. Rosenthal & R. L. Rosnow (Eds.), Artifact in behavioral research (pp. 181–277). New York: Academic Press. 	1969
101	Expectancy effects	People behave as others expect them to behave	113	0.33	0.43	236	Rosenthal, R., & Rubin, D. B. (1978). Interpersonal expectancy effects: The first 345 studies. The Behavioral and Brain Sciences, 3, 377–386. 	1978
102	Expectancy effects	Males behave as others expect them to behave	14	0.19	NA	124	Hall, J. A., & Briton, N. J. (1993). Gender, nonverbal behavior, and expectations. In P. D. Blanck (Ed.), Interpersonal expectations: Theory, research, and applications (pp. 276–295). New York: Cambridge University Press.	1993
103	Expectancy effects	Females behave as others expect them to behave	28	0.08	NA	124	Hall, J. A., & Briton, N. J. (1993). Gender, nonverbal behavior, and expectations. In P. D. Blanck (Ed.), Interpersonal expectations: Theory, research, and applications (pp. 276–295). New York: Cambridge University Press.	1993
104	Expectancy effects	Experimenters find the research results they expect to find	35	0.25	NA	232	Rosenthal, R. (1968). Experimenter expectancy and the reassuring nature of the null hypothesis decision procedure. Psychological Bulletin Monograph, 70, 30–47. 	1968
105	Expectancy effects	Some experimenters show bigger expectancy effects than others	22	0.11	NA	59	Cooper, H., & Hazelrigg, P. (1988). Personality moderators of interpersonal expectancy effects: An integrative research review. Journal of Personality and Social Psychology, 55, 937–949.	1988
106	Expectancy effects	Some subjects show bigger experimenter expectancy effects than others	26	0.03	NA	59	Cooper, H., & Hazelrigg, P. (1988). Personality moderators of interpersonal expectancy effects: An integrative research review. Journal of Personality and Social Psychology, 55, 937–949.	1988
107	Expectancy effects	Teachers expect more from female than male students	28	0.07	NA	75	Dusek, J. B., & Joseph, G. (1983). The bases of teacher expectancies: A meta-analysis. Journal of Educational Psychology, 75, 327–346.	1983
108	Expectancy effects	Teachers expect more from Anglo-Americans than African-Americans	20	0.05	NA	75	Dusek, J. B., & Joseph, G. (1983). The bases of teacher expectancies: A meta-analysis. Journal of Educational Psychology, 75, 327–346.	1983
109	Expectancy effects	Teachers expect more from attractive than unattractive students	24	0.12	NA	75	Dusek, J. B., & Joseph, G. (1983). The bases of teacher expectancies: A meta-analysis. Journal of Educational Psychology, 75, 327–346.	1983
110	Expectancy effects	Teachers who have positive expectations for a student have positive	180	0.19	NA	130	Harris, M. J., & Rosenthal, R. (1986). Four factors in the mediation of teacher expectancy effects. In R. S. Feldman (Ed.), The socialpsychology of education: Current theory and research (pp. 91–114). New York: Cambridge University Press.	1986
111	Expectancy effects	interactions with that student	165	0.19	NA	129	Harris, M. J., & Rosenthal, R. (1985). Mediation of interpersonal expectancy effects: 31 meta-analyses. Psychological Bulletin, 97, 363–386.	1985
112	Expectancy effects	Teachers form self-fulfilling prophecies about students	18	0.05	0.07	226	Raudenbush, S. W. (1984). Magnitude of teacher expectancy effects on pupil IQ as a function of the credibility of expectancy induction: A synthesis of findings from 18 experiments. Journal of Educational Psychology, 76, 85–97. 	1984
113	Expectancy effects	Students achieve the most if their teachers interact with them, display	58	0.24	NA	130	Harris, M. J., & Rosenthal, R. (1986). Four factors in the mediation of teacher expectancy effects. In R. S. Feldman (Ed.), The socialpsychology of education: Current theory and research (pp. 91–114). New York: Cambridge University Press.	1986
114	Expectancy effects	warmth, and give them positive feedback	50	0.26	NA	129	Harris, M. J., & Rosenthal, R. (1985). Mediation of interpersonal expectancy effects: 31 meta-analyses. Psychological Bulletin, 97, 363–386.	1985
115	Expectancy effects	People have status expectations for one another	7	0.31	0.12	73	Driskell, J. E., & Mullen, B. (1990). Status, expectations, and behavior: A meta-analytic review and test of the theory. Personality and Social Psychology Bulletin, 16, 541–553.	1990
116	Gender roles	Parents encourage their children to engage in sex-stereotypic activities	21	0.21	0.11	169	Lytton, H., & Romney, D. M. (1991). Parents' differential socialization of boys and girls: A metaanalysis. Psychological Bulletin, 109, 267–296.	1991
117	Gender roles	Exposure to TV increases acceptance of gender role stereotypes	31	0.11	0.12	135	Herrett-Skjellum, J., & Allen, M. (1996). Television programming and sex stereotyping: A metaanalysis. Communication Yearbook, 19, 157–185.	1996
118	Gender roles	Boys who are reared in father-absent homes are nonmasculine	116	0.07	0.23	269	Stevenson, M. R., & Black, K. N. (1988). Paternal absence and sex-role development: A metaanalysis. Child Development, 59, 793–814. 	1988
119	Gender roles	Girls who are reared in father-absent homes are nonfeminine	48	0.01	0.14	269	Stevenson, M. R., & Black, K. N. (1988). Paternal absence and sex-role development: A metaanalysis. Child Development, 59, 793–814. 	1988
120	Gender roles	Women are more likely than men to support the feminist movement	46	0.39	NA	292	Twenge, J. M. (1997). Attitudes toward women, 1970–1995: A meta-analysis. Psychology of Women Quarterly, 21, 35–51. 	1997
121	Gender roles	Members of the women's movement are perceived to be unattractive	21	0	0	25	Beaman, A. L., & Klentz, B. (1983). The supposed physical attractiveness bias against supporters of the women's movement: A meta-analysis. Personality and Social Psychology Bulletin, 9, 544–550.	1983
122	Gender roles	Traditionally sex-typed people have traditional attitudes toward women	27	0.1	0.05	19	Archer, J. (1989). The relationship between gender-role measures: A review. British Journal of Social Psychology, 28, 173–184.	1989
